cliente_id,tipo_zona,Suma de churn,Avg Satisfaccion,tipo_plan,Promedio de ingreso_estimado,Promedio de importe_total,Promedio de antiguedad_meses
C000001,urbana_premium,0,35,Prepago,"43350,00","4619,43","720,00"
C000002,suburbana,0,35.78947368421053,Premium,"46090,00","11508,50","350,00"
C000003,suburbana,1,36.04651162790697,Prepago,"18360,00","5100,48","110,00"
C000004,suburbana,0,37.5,Prepago,"23180,00","2733,06","130,00"
C000005,suburbana,0,35.75757575757576,Contrato,"21840,00","9023,00","210,00"
C000006,suburbana,0,32.666666666666664,Prepago,"24110,00","5802,82","860,00"
C000007,urbana_premium,0,35,Prepago,"23690,00","7637,11","150,00"
C000008,urbana_premium,0,37.93103448275862,Premium,"80880,00","12750,80","640,00"
C000009,urbana_premium,0,36.333333333333336,Premium,"51910,00","31030,19","250,00"
C000010,suburbana,0,32.4,Contrato,"22720,00","3926,39","130,00"
C000011,suburbana,0,34.77272727272727,Prepago,"29970,00","2038,92","230,00"
C000012,urbana_premium,0,34.8936170212766,Prepago,"32870,00","9924,91","50,00"
C000013,suburbana,0,35.55555555555556,Prepago,"31480,00","2527,38","380,00"
C000014,urbana_premium,0,36.42857142857143,Premium,"29260,00","33735,39","350,00"
C000015,suburbana,0,36,Contrato,"17490,00","8983,81","320,00"
C000016,urbana_premium,0,34.57142857142857,Prepago,"31330,00","6229,29","630,00"
C000017,suburbana,0,33.666666666666664,Contrato,"48340,00","7399,91","210,00"
C000018,suburbana,0,35.22727272727273,Contrato,"17730,00","6750,29","230,00"
C000019,urbana_premium,0,35.6,Premium,"56190,00","17360,26","410,00"
C000020,suburbana,0,35.625,Contrato,"36260,00","8009,97","100,00"
C000021,urbana_premium,0,37.5,Prepago,"33280,00","3845,06","50,00"
C000022,suburbana,1,35.714285714285715,Contrato,"38760,00","4103,69","90,00"
C000023,urbana_premium,0,36.5,Premium,"41180,00","14776,73","140,00"
C000024,urbana_premium,0,34,Premium,"18110,00","13173,62","490,00"
C000025,urbana_premium,0,32.142857142857146,Premium,"33220,00","14985,97","210,00"
C000026,rural,0,31.57894736842105,Prepago,"20360,00","4029,19","280,00"
C000027,urbana_premium,0,38.8,Premium,"63470,00","21496,84","320,00"
