cliente_id,Mes,tipo_zona,Suma de churn,Avg Satisfaccion,tipo_plan,Promedio de ingreso_estimado,Suma de importe_total,Promedio de antiguedad_meses
C000001,enero,urbana_premium,0,,Prepago,,14573,
C000001,febrero,urbana_premium,0,34,Prepago,"43350,00",15953,"720,00"
C000001,marzo,urbana_premium,0,32.5,Prepago,"43350,00",16727,"720,00"
C000001,abril,urbana_premium,0,45,Prepago,"43350,00",11673,"720,00"
C000001,mayo,urbana_premium,0,30,Prepago,"43350,00",12950,"720,00"
C000001,junio,urbana_premium,0,30,Prepago,"43350,00",17790,"720,00"
C000001,julio,urbana_premium,0,37.5,Prepago,"43350,00",16480,"720,00"
C000001,agosto,urbana_premium,0,40,Prepago,"43350,00",15864,"720,00"
C000001,septiembre,urbana_premium,0,,Prepago,,15213,
C000001,octubre,urbana_premium,0,40,Prepago,"43350,00",14349,"720,00"
C000001,noviembre,urbana_premium,0,,Prepago,,9245,
C000001,diciembre,urbana_premium,0,,Prepago,,10102,
C000002,enero,suburbana,0,40,Premium,"46090,00",25079,"350,00"
C000002,febrero,suburbana,0,40,Premium,"46090,00",36190,"350,00"
C000002,marzo,suburbana,0,36.666666666666664,Premium,"46090,00",59034,"350,00"
C000002,abril,suburbana,0,30,Premium,"46090,00",39162,"350,00"
C000002,mayo,suburbana,0,34.54545454545455,Premium,"46090,00",36564,"350,00"
C000002,junio,suburbana,0,33.333333333333336,Premium,"46090,00",37379,"350,00"
C000002,julio,suburbana,0,35,Premium,"46090,00",35356,"350,00"
C000002,agosto,suburbana,0,40,Premium,"46090,00",37651,"350,00"
C000002,septiembre,suburbana,0,40,Premium,"46090,00",36470,"350,00"
C000002,octubre,suburbana,0,50,Premium,"46090,00",25429,"350,00"
C000002,noviembre,suburbana,0,25,Premium,"46090,00",34188,"350,00"
C000002,diciembre,suburbana,0,40,Premium,"46090,00",34821,"350,00"
C000003,enero,suburbana,0,20,Prepago,"18360,00",9736,"110,00"
C000003,febrero,suburbana,0,31.818181818181817,Prepago,"18360,00",15337,"110,00"
C000003,marzo,suburbana,0,33.333333333333336,Prepago,"18360,00",16647,"110,00"
C000003,abril,suburbana,0,38,Prepago,"18360,00",17550,"110,00"
C000003,mayo,suburbana,0,40,Prepago,"18360,00",18730,"110,00"
C000003,junio,suburbana,0,33.75,Prepago,"18360,00",18138,"110,00"
C000003,julio,suburbana,1,40,Prepago,"18360,00",15725,"110,00"
C000003,agosto,suburbana,0,45,Prepago,"18360,00",9238,"110,00"
