fecha,zona_id,region,tipo_zona,poblacion_zona,cobertura_4g_pct,cobertura_5g_pct,latencia_ms,velocidad_media_mbps,tasa_cortes_pct,indice_calidad_global,incidencia_masiva
2023-01-01,Z01,Centro,rural,16625,82.46,4.03,56.17,30.61,3.01,18.51,0
2023-02-01,Z01,Centro,rural,16625,82.11,4.31,55.69,30.95,3.06,19.61,0
2023-03-01,Z01,Centro,rural,16625,82.19,4.56,55.45,31.05,2.96,16.99,0
2023-04-01,Z01,Centro,rural,16625,81.9,4.69,55.72,30.43,3.0,20.81,0
2023-05-01,Z01,Centro,rural,16625,81.86,5.38,55.38,30.47,3.01,18.61,0
2023-06-01,Z01,Centro,rural,16625,82.06,5.45,55.8,30.79,3.05,17.12,0
2023-07-01,Z01,Centro,rural,16625,82.05,5.97,56.04,30.84,3.26,19.06,0
2023-08-01,Z01,Centro,rural,16625,81.85,6.68,56.22,31.89,3.36,20.08,0
2023-09-01,Z01,Centro,rural,16625,82.16,7.03,55.97,30.94,3.34,17.84,0
2023-10-01,Z01,Centro,rural,16625,82.23,7.69,55.4,30.27,3.38,21.46,0
01/11/2023,Z01,Centro,rural,16625,82.52,9.08,55.82,29.91,3.23,21.34,0
2023-12-01,Z01,Centro,rural,16625,82.22,9.44,55.6,30.41,3.35,21.07,0
2024-01-01,Z01,Centro,rural,16625,82.12,9.72,54.9,30.64,3.35,23.59,0
2024-02-01,Z01,Centro,rural,16625,82.11,10.58,54.85,30.45,3.26,20.16,0
2024-03-01,Z01,Centro,rural,16625,82.46,10.93,55.32,30.71,3.33,22.23,0
2024-04-01,Z01,Centro,rural,16625,82.29,11.54,54.87,32.1,3.26,20.06,0
2024-05-01,Z01,Centro,rural,16625,81.98,12.2,55.44,33.09,3.21,22.31,0
2024-06-01,Z01,Centro,rural,16625,82.22,12.85,54.82,34.71,3.2,24.83,0
2024-07-01,Z01,Centro,rural,16625,82.19,13.14,53.83,36.48,3.27,22.55,0
2024-08-01,Z01,Centro,rural,16625,82.06,14.17,53.12,36.05,3.22,22.54,0
2024-09-01,Z01,Centro,rural,16625,82.04,14.68,53.15,37.7,3.12,24.41,0
2024-10-01,Z01,Centro,rural,16625,81.66,15.24,52.52,-37.1,2.96,22.86,0
2024-11-01,Z01,Centro,rural,16625,81.93,15.51,52.37,37.43,2.87,25.26,0
01/12/2024,Z01,Centro,rural,16625,82.05,16.52,52.07,37.7,2.8,24.66,0
2025-01-01,Z01,Centro,rural,16625,82.06,17.42,50.9,40.54,2.79,27.79,0
2025-02-01,Z01,Centro,rural,16625,81.89,18.43,49.31,42.05,2.62,27.3,0
2025-03-01,Z01,Centro,rural,16625,81.79,19.22,47.83,43.55,2.38,25.21,0
2025-04-01,Z01,Centro,rural,16625,81.7,20.09,46.94,43.71,2.46,24.39,0
2025-05-01,Z01,Centro,rural,16625,81.59,21.35,48.41,44.11,2.33,27.11,0
2025-06-01,Z01,Centro,rural,16625,82.02,21.73,48.01,45.88,2.3,26.75,0
2025-07-01,Z01,Centro,rural,16625,81.99,22.08,47.76,46.34,2.27,26.64,0
2025-08-01,Z01,Centro,rural,16625,82.08,23.08,47.8,47.12,2.25,27.98,0
2025-09-01,Z01,Centro,rural,16625,81.93,23.79,,48.93,2.37,28.81,0
2025-10-01,Z01,Centro,rural,16625,81.81,24.13,48.38,48.77,2.38,25.56,0
2025-11-01,Z01,Centro,rural,16625,82.03,24.92,47.84,48.05,2.4,28.74,0
2025-12-01,Z01,Centro,rural,16625,81.97,25.52,47.93,47.93,2.52,24.93,0
2023-01-01,Z02,Oeste,suburbana,46400,89.89,10.54,39.72,54.87,1.21,31.86,0
2023-02-01,Z02,Oeste,suburbana,46400,89.74,10.63,,55.32,1.48,33.52,0
2023-03-01,Z02,Oeste,suburbana,46400,89.89,11.52,40.63,55.81,1.53,32.33,0
2023-04-01,Z02,Oeste,suburbana,46400,89.8,12.29,40.07,56.11,1.6,34.25,0
2023-05-01,Z02,Oeste,suburbana,46400,90.0,13.36,40.59,54.56,1.67,31.12,0
2023-06-01,Z02,Oeste,suburbana,46400,89.9,14.36,40.93,54.15,1.67,33.16,0
2023-07-01,Z02,Oeste,suburbana,46400,89.71,14.87,41.04,55.3,1.8,29.74,0
2023-08-01,Z02,Oeste,suburbana,46400,89.85,15.74,41.16,56.52,1.69,32.84,0
2023-09-01,Z02,Oeste,suburbana,46400,90.0,16.28,41.71,56.54,1.85,33.12,0
2023-10-01,Z02,Oeste,suburbana,46400,90.15,17.62,41.5,56.57,1.91,33.31,0
2023-11-01,Z02,Oeste,suburbana,46400,90.08,18.6,41.36,57.31,1.86,34.8,0
2023-12-01,Z02,Oeste,suburbana,46400,90.32,19.47,40.65,57.41,1.96,35.6,0
2024-01-01,Z02,Oeste,suburbana,46400,90.46,20.79,40.81,57.94,2.13,35.88,0
2024-02-01,Z02,Oeste,suburbana,46400,89.96,22.23,40.24,58.21,2.16,33.94,0
2024-03-01,Z02,Oeste,suburbana,46400,89.75,22.8,39.57,58.89,2.11,36.9,0
2024-04-01,Z02,Oeste,suburbana,46400,89.57,23.35,39.35,58.94,2.05,37.62,0
2024-05-01,Z02,Oeste,suburbana,46400,89.72,24.81,39.13,60.01,1.9,37.1,0
2024-06-01,Z02,Oeste,suburbana,46400,89.84,26.17,38.55,61.04,1.81,37.95,0
2024-07-01,Z02,Oeste,suburbana,46400,90.04,26.78,37.59,60.54,1.57,37.61,0
2024-08-01,Z02,Oeste,suburbana,46400,90.16,27.95,37.45,62.42,1.66,39.21,0
2024-09-01,Z02,Oeste,suburbana,46400,90.36,29.19,36.73,62.75,1.49,38.74,0
2024-10-01,Z02,Oeste,suburbana,46400,90.19,30.55,37.24,62.68,1.49,38.81,0
2024-11-01,Z02,Oeste,suburbana,46400,90.22,31.62,35.87,64.62,1.4,40.28,0
2024-12-01,Z02,Oeste,suburbana,46400,89.96,32.56,35.81,65.39,1.39,41.81,0
2025-01-01,Z02,Oeste,suburbana,46400,90.21,33.63,34.8,67.09,1.33,43.8,0
2025-02-01,Z02,Oeste,suburbana,46400,90.21,34.76,34.83,69.15,1.45,42.78,0
2025-03-01,Z02,Oeste,suburbana,46400,90.18,36.17,,69.55,1.38,43.74,0
2025-04-01,Z02,Oeste,suburbana,46400,89.98,36.85,33.22,68.89,1.29,42.96,0
2025-05-01,Z02,Oeste,suburbana,46400,90.33,38.3,32.97,69.65,1.23,43.92,0
2025-06-01,Z02,Oeste,suburbana,46400,90.27,39.53,33.06,70.81,1.15,44.85,0
2025-07-01,Z02,Oeste,suburbana,46400,90.65,40.62,33.92,70.97,1.22,45.42,0
2025-08-01,Z02,Oeste,suburbana,46400,90.43,41.48,34.08,70.41,1.29,47.17,0
2025-09-01,Z02,Oeste,suburbana,46400,90.36,42.53,34.23,70.46,1.38,43.1,0
2025-10-01,Z02,Oeste,suburbana,46400,90.19,43.18,33.51,71.75,1.45,45.01,0
2025-11-01,Z02,Oeste,suburbana,46400,89.87,43.74,33.47,73.44,1.49,45.28,0
2025-12-01,Z02,Oeste,suburbana,46400,89.99,44.79,33.62,72.86,1.49,47.75,0
2023-01-01,Z03,Sur,rural,16530,82.07,4.25,54.64,33.74,3.45,18.45,0
2023-02-01,Z03,Sur,rural,16530,82.31,4.39,54.94,34.31,3.31,18.02,0
2023-03-01,Z03,Sur,rural,16530,82.14,4.74,54.41,33.94,3.22,21.16,0
2023-04-01,Z03,Sur,rural,16530,81.66,4.87,54.06,32.51,3.23,18.72,0
2023-05-01,Z03,Sur,rural,16530,81.72,5.29,54.72,31.32,3.29,20.02,0
2023-06-01,Z03,Sur,rural,16530,81.87,5.94,55.28,32.74,3.29,19.0,0
2023-07-01,Z03,Sur,rural,16530,81.78,6.19,55.01,31.52,3.3,19.89,0
2023-08-01,Z03,Sur,rural,16530,81.85,6.61,55.81,31.9,3.31,18.59,0
2023-09-01,Z03,Sur,rural,16530,81.99,,55.31,31.59,3.36,18.62,0
2023-10-01,Z03,Sur,rural,16530,82.03,7.59,56.2,32.43,3.35,20.63,0
2023-11-01,Z03,Sur,rural,16530,81.59,8.03,56.06,31.36,3.42,22.76,0
2023-12-01,Z03,Sur,rural,16530,81.5,8.6,,32.74,3.31,20.39,0
2024-01-01,Z03,Sur,rural,16530,81.98,8.99,55.46,32.32,3.28,21.84,0
2024-02-01,Z03,Sur,rural,16530,82.03,9.4,55.7,32.08,3.39,19.82,0
2024-03-01,Z03,Sur,rural,16530,81.9,10.43,55.88,32.86,3.22,21.91,0
2024-04-01,Z03,Sur,rural,16530,81.75,11.26,54.92,33.61,3.15,19.51,0
2024-05-01,Z03,Sur,rural,16530,81.95,12.02,54.49,35.11,3.12,22.11,0
2024-06-01,Z03,Sur,rural,16530,82.01,12.52,54.55,34.9,3.07,24.33,0
2024-07-01,Z03,Sur,rural,16530,,12.63,54.98,37.29,3.02,19.4,0
2024-08-01,Z03,Sur,rural,16530,81.82,13.39,54.34,36.45,3.04,23.37,0
2024-09-01,Z03,Sur,rural,16530,81.61,14.34,54.78,37.05,2.96,22.55,0
2024-10-01,Z03,Sur,rural,16530,,14.6,541.1,37.27,3.05,22.86,0
2024-11-01,Z03,Sur,rural,16530,82.18,15.12,53.73,38.16,2.89,24.03,0
2024-12-01,Z03,Sur,rural,16530,82.35,15.84,,38.71,2.77,23.86,0
2025-01-01,Z03,Sur,rural,16530,82.23,16.2,51.31,39.64,2.69,20.74,0
2025-02-01,Z03,Sur,rural,16530,82.3,17.11,50.93,39.08,2.73,25.49,0
2025-03-01,Z03,Sur,rural,16530,82.64,17.96,51.11,39.67,2.76,26.55,0
2025-04-01,Z03,Sur,rural,16530,,18.5,50.84,39.93,2.77,28.13,0
2025-05-01,Z03,Sur,rural,16530,82.39,19.09,50.96,40.35,2.79,22.48,0
2025-06-01,Z03,Sur,rural,16530,82.12,19.6,49.87,40.15,2.67,25.62,0
2025-07-01,Z03,Sur,rural,16530,82.29,20.26,49.71,40.69,2.75,24.89,0
2025-08-01,Z03,Sur,rural,16530,82.04,21.09,49.99,41.58,2.73,27.54,0
2025-09-01,Z03,Sur,rural,16530,81.84,,50.25,40.77,2.62,27.5,0
2025-10-01,Z03,Sur,rural,16530,81.82,22.1,50.54,41.91,2.5,24.44,0
2025-11-01,Z03,Sur,rural,16530,81.71,23.14,50.98,42.37,2.52,25.27,0
2025-12-01,Z03,Sur,rural,16530,81.88,23.71,51.49,41.9,2.67,27.44,0
2023-01-01,Z04,Centro,suburbana,55457,90.76,10.32,36.9,50.36,1.88,35.13,0
2023-02-01,Z04,Centro,suburbana,55457,90.62,10.46,37.48,51.74,1.79,30.91,0
2023-03-01,Z04,Centro,suburbanx,55457,90.81,11.41,38.87,51.99,1.84,33.78,0
2023-04-01,Z04,Centro,suburbana,55457,90.64,12.28,39.66,53.4,1.88,33.54,0
2023-05-01,Z04,Centro,suburbana,55457,90.13,12.94,39.71,52.88,2.0,35.33,0
2023-06-01,Z04,Centro,suburbana,55457,90.34,13.77,40.64,53.51,1.99,31.55,0
2023-07-01,Z04,Centro,suburbana,55457,90.31,14.63,40.11,53.95,1.97,36.26,0
2023-08-01,Z04,Centro,suburbana,55457,90.38,15.55,40.44,54.4,1.95,32.35,0
01/09/2023,Z04,Centro,suburbana,55457,90.24,16.35,39.98,55.16,2.0,31.56,0
2023-10-01,Z04,Centro,suburbana,55457,90.14,17.65,40.66,56.19,2.0,33.38,0
2023-11-01,Z04,Centro,suburbana,55457,89.9,18.74,40.77,57.26,2.08,34.69,0
2023-12-01,Z04,Centro,suburbana,55457,89.71,19.67,40.71,57.07,2.01,35.45,0
2024-01-01,Z04,Centro,suburbana,55457,89.71,20.58,40.61,56.99,2.01,35.81,0
2024-02-01,Z04,Centro,suburbana,55457,89.59,21.58,40.95,56.59,1.82,32.85,0
2024-03-01,Z04,Centro,suburbana,55457,89.72,22.73,40.37,58.33,1.63,37.0,0
2024-04-01,Z04,Centro,suburbana,55457,90.08,23.59,39.71,58.34,1.61,36.63,0
2024-05-01,Z04,Centro,suburbana,55457,90.32,25.24,39.13,60.62,1.65,40.78,0
2024-06-01,Z04,Centro,suburbana,55457,90.2,26.31,38.9,63.46,1.72,37.61,0
2024-07-01,Z04,Centro,suburbana,55457,90.32,27.27,382.0,64.03,1.69,39.67,0
2024-08-01,Z04,Centro,suburbana,55457,90.22,28.44,37.97,62.59,1.69,38.03,0
01/09/2024,Z04,Centro,suburbana,55457,89.9,29.49,37.51,62.8,1.68,37.65,0
2024-10-01,Z04,Centro,suburbana,55457,89.86,30.43,36.99,63.96,1.52,41.23,0
2024-11-01,Z04,Centro,suburbana,55457,89.91,31.11,35.64,64.81,1.45,40.49,0
2024-12-01,Z04,Centro,suburbana,55457,89.93,32.42,35.88,64.83,1.32,39.52,0
2025-01-01,Z04,Centro,suburbana,55457,90.0,34.51,34.32,65.82,1.02,41.03,0
2025-02-01,Z04,Centro,suburbana,55457,89.9,35.91,33.35,68.36,1.01,41.98,0
2025-03-01,Z04,Centro,suburbana,55457,89.78,37.43,31.9,70.84,0.93,43.56,0
2025-04-01,Z04,Centro,suburbana,55457,90.13,38.56,32.44,-72.27,0.76,44.71,0
2025-05-01,Z04,Centro,suburbana,55457,,39.65,,73.97,0.7,46.46,0
2025-06-01,Z04,Centro,suburbana,55457,90.14,,31.79,75.86,0.57,45.51,0
2025-07-01,Z04,Centro,suburbana,55457,89.94,42.42,31.13,76.11,0.76,46.02,0
2025-08-01,Z04,Centro,suburbana,55457,90.03,43.47,30.97,76.45,0.81,48.53,0
2025-09-01,Z04,Centro,suburbana,55457,90.32,44.66,31.12,75.85,0.81,48.83,0
2025-10-01,Z04,Centro,suburbana,55457,90.38,45.8,31.4,76.67,0.93,48.34,0
2025-11-01,Z04,Centro,suburbana,55457,90.2,46.96,29.92,77.15,0.66,45.82,0
2025-12-01,Z04,Centro,suburbana,55457,90.22,48.14,29.74,76.66,0.88,48.06,0
2023-01-01,Z05,Este,urbana_premium,94471,95.39,17.97,32.56,77.37,0.91,40.98,0
2023-02-01,Z05,Este,urbana_premium,94471,95.14,18.47,32.31,76.6,0.94,42.94,0
2023-03-01,Z05,Este,urbana_premium,94471,94.62,19.04,32.8,75.87,0.87,42.33,0
2023-04-01,Z05,Este,urbana_premium,94471,94.52,19.8,32.78,76.25,0.96,42.81,0
2023-05-01,Z05,Este,urbana_premium,94471,94.11,21.26,32.56,75.65,1.09,44.21,0
2023-06-01,Z05,Este,urbana_premium,94471,94.4,23.0,32.5,75.93,1.18,43.08,0
01/07/2023,Z05,Este,urbana_premium,94471,94.3,24.58,32.48,75.41,1.17,44.31,0
2023-08-01,Z05,Este,urbana_premium,94471,94.21,26.04,32.78,75.42,1.26,44.34,0
2023-09-01,Z05,Este,urbana_premium,94471,93.93,27.82,32.43,74.6,1.19,42.62,0
2023-10-01,Z05,Este,urbana_premium,94471,93.96,29.13,32.21,75.91,1.25,45.25,0
2023-11-01,Z05,Este,suburbanx,94471,94.04,30.74,31.19,76.28,1.1,45.65,0
2023-12-01,Z05,Este,urbana_premium,94471,94.03,32.45,31.87,77.18,1.11,46.94,0
2024-01-01,Z05,Este,urbana_premium,94471,93.93,33.87,32.15,77.49,1.21,47.64,0
2024-02-01,Z05,Este,urbana_premium,94471,93.78,35.58,32.1,78.47,1.15,45.93,0
2024-03-01,Z05,Este,urbana_premium,94471,93.75,37.16,31.19,79.7,1.06,47.66,0
2024-04-01,Z05,Este,urbana_premium,94471,93.84,39.2,30.21,81.64,1.08,49.66,0
2024-05-01,Z05,Este,urbana_premium,94471,93.91,40.63,29.92,83.31,1.04,51.49,0
