cliente_id,zona_id,region,tipo_zona,poblacion_zona,edad,sexo,estado_civil,num_lineas,tipo_plan,tipo_dispositivo,ingreso_estimado,antiguedad_meses,descuento_activo
C000001,Z26,Oeste,urbana_premium,107159,18.0,M,Soltero/a,2,Prepago,Gama alta,4335.0,72.0,0
C000002,Z15,Oeste,suburbana,62939,54.0,M,Casado/a,2,Premium,Gama media,4609.0,35.0,1
C000003,Z27,Norte,suburbana,42704,54.0,M,Casado/a,3,Prepago,Gama baja,1836.0,11.0,0
C000004,Z22,Este,suburbana,53534,34.0,M,Soltero/a,1,Prepago,Gama media,2318.0,13.0,0
C000005,Z04,Centro,suburbana,55457,46.0,F,Soltero/a,2,Contrato,Gama media,2184.0,21.0,0
C000006,Z30,Centro,suburbana,33966,37.0,M,Casado/a,3,Prepago,Gama media,2411.0,86.0,0
C000007,Z26,Oeste,urbana_premium,107159,39.0,M,Soltero/a,3,Prepago,Gama media,2369.0,15.0,0
C000008,Z26,Oeste,urbana_premium,107159,22.0,F,Soltero/a,2,Premium,Gama alta,8088.0,64.0,0
C000009,Z05,Este,urbana_premium,94471,43.0,F,Casado/a,5,Premium,Gama media,5191.0,25.0,0
C000010,Z15,Oeste,suburbana,62939,20.0,M,Soltero/a,1,Contrato,Gama baja,2272.0,13.0,1
C000011,Z13,Este,suburbana,37333,18.0,M,Soltero/a,1,Prepago,Gama alta,2997.0,23.0,0
C000012,Z29,Oeste,urbana_premium,67334,35.0,F,Casado/a,4,Prepago,Gama media,3287.0,5.0,0
C000013,Z20,Oeste,suburbana,46953,37.0,NA,Soltero/a,1,Prepago,Gama media,3148.0,38.0,0
C000014,Z26,Oeste,urbana_premium,107159,39.0,F,Casado/a,5,Premium,Gama alta,2926.0,35.0,0
C000015,Z15,Oeste,suburbana,62939,32.0,M,Soltero/a,2,Contrato,Gama baja,1749.0,32.0,0
C000016,Z09,Norte,urbana_premium,102625,59.0,F,Soltero/a,3,Prepago,Gama media,3133.0,63.0,0
C000017,Z17,Sur,suburbana,56619,42.0,M,Soltero/a,2,Contrato,Gama alta,4834.0,21.0,0
C000018,Z04,Centro,suburbana,55457,43.0,M,Soltero/a,2,Contrato,Gama media,1773.0,23.0,1
C000019,Z26,Oeste,urbana_premium,107159,38.0,F,Divorciado/a,3,Premium,Gama media,5619.0,41.0,1
C000020,Z20,Oeste,suburbana,46953,52.0,F,Soltero/a,2,Contrato,Gama media,3626.0,10.0,0
C000021,Z26,Oeste,urbana_premium,107159,43.0,M,Casado/a,2,Prepago,Gama media,3328.0,5.0,0
C000022,Z11,Oeste,suburbana,41163,45.0,M,Casado/a,1,Contrato,Gama media,3876.0,9.0,0
C000023,Z29,Oeste,urbana_premium,67334,45.0,F,Divorciado/a,3,Premium,Gama alta,4118.0,14.0,1
C000024,Z28,Sur,urbana_premium,64486,18.0,M,Soltero/a,3,Premium,Gama media,1811.0,49.0,0
C000025,Z26,Oeste,urbana_premium,107159,18.0,M,Soltero/a,3,Premium,Gama media,3322.0,21.0,1
C000026,Z06,Sur,rural,19752,44.0,M,Casado/a,2,Prepago,Gama media,2036.0,28.0,0
C000027,Z16,Este,urbana_premium,72683,34.0,M,Soltero/a,3,Premium,Gama alta,6347.0,32.0,1
C000028,Z02,Oeste,suburbana,46400,47.0,F,Casado/a,4,Premium,Gama media,2591.0,66.0,0
C000029,Z05,Este,urbana_premium,94471,36.0,M,Divorciado/a,3,Prepago,Gama media,3555.0,26.0,0
C000030,Z22,Este,suburbana,53534,47.0,F,Casado/a,4,Contrato,Gama baja,1985.0,9.0,0
C000031,Z25,Oeste,rural,11763,30.0,F,Soltero/a,1,Contrato,Gama media,2271.0,28.0,0
C000032,Z29,Oeste,urbana_premium,67334,36.0,M,Casado/a,5,Premium,Gama baja,2525.0,-87.0,0
C000033,Z10,Este,suburbana,27514,24.0,F,Casado/a,1,Prepago,Gama alta,4360.0,,0
C000034,Z13,Este,suburbana,37333,45.0,M,Casado/a,2,Prepago,Gama media,2573.0,65.0,0
C000035,Z16,Este,urbana_premium,72683,18.0,F,Soltero/a,2,Premium,Gama media,2523.0,34.0,0
C000036,Z06,Sur,rural,19752,49.0,F,Casado/a,4,Contrato,Gama media,3565.0,66.0,1
C000037,Z05,Este,urbana_premium,94471,18.0,F,Soltero/a,2,Premium,Gama media,2423.0,27.0,1
C000038,Z16,Este,urbana_premium,72683,31.0,M,Casado/a,3,Premium,Gama media,4185.0,25.0,0
C000039,Z09,Norte,urbana_premium,102625,47.0,F,Casado/a,2,Premium,Gama media,2274.0,9.0,1
C000040,Z21,Centro,rural,19103,48.0,F,Casado/a,2,Premium,Gama media,2572.0,,0
